;grid=15x15:extent=(31.5000,-31.5000,-31.5000,31.5000):X_lbl=p_y:Y_lbl=p_x
    #,   Plate Y,   Plate X,  Seconds,       i0,       i1,      mon,    bstop,  LaserRf,      CH6,      CH7,     TEMP,   marccd,    ICRxT,    OCRxT,     ROI1,     ROI2,     ROI3,     ROI4,     ROI5,     ROI6,     ROI7,     ROI8,     ROI9,    ROI10,    RIO11,    ROI12,    ROI13,      SWX,     CCD1,    CTEMP,    Timer,      pd1,      pd2,      pd3,      pd4,      pd5,      pd6,      pd7,      pd8,      pd9,     pd10,     pd11,     pd12,     pd13,     pd14,     pd15,     pd16,    PRESS,   lvdt11,   lvdt12,   lvdt21,   lvdt22,   lvdt31,   lvdt32,   lvdt41,   lvdt42,   CTEMPB,  X3_ROI1,  X3_ROI2,  X3_ROI3,  X3_ROI4,  X3_ROI5,  X3_ROI6,  X3_ROI7,  X3_ROI8
   65,         9,     -13.5,   60.000,  4944406, 15223174,    13299,        0, 40642383,        0,        0,        0, 63.875696,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,       -1, 13573.335,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,   316254,    28396,   166888,   161372,        0,        0,        0,        0
   66,       4.5,     -13.5,   60.000,  4927934, 15144899,    10002,        0,        0,        0,        0,        0, 64.066351,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,       -1, 13639.389,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,   307540,    29441,   159066,   153766,        0,        0,        0,        0
   67,         0,     -13.5,   60.000,  4906819, 15168866,    11769,        0,        0,        0,        0,        0, 63.972081,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,       -1, 13705.159,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,   302880,    30806,   153635,   148495,        0,        0,        0,        0
   68,      -4.5,     -13.5,   60.000,  4930245, 15179159,     9028,        0,        0,        0,        0,        0, 63.910326,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,       -1, 13770.96,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,   295136,    31256,   145965,   140995,        0,        0,        0,        0
   69,        -9,     -13.5,   60.000,  4964016, 15265828,    12007,        0,        0,        0,        0,        0, 63.815608,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,       -1, 13836.728,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,   288758,    32318,   139273,   134555,        0,        0,        0,        0
   70,     -13.5,     -13.5,   60.000,  4932982, 15251786,    12663,        0,        0,        0,        0,        0, 63.895619,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,       -1, 13902.683,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,   279249,    33017,   130935,   126516,        0,        0,        0,        0
   71,       -18,     -13.5,   60.000,  4905946, 15215625,     4675,        0, 40602786,        0,        0,        0, 64.056009,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,       -1, 13968.71,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,   268740,    33256,   121713,   117486,        0,        0,        0,        0
   72,     -22.5,     -13.5,   60.000,  4893462, 15169657,     3526,        0,        0,        0,        0,        0,  63.8998,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,       -1, 14034.404,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,   258886,    33599,   112911,   109028,        0,        0,        0,        0
   73,       -27,     -13.5,   60.000,  4925621, 15201078,     2559,        0,        0,        0,        0,        0, 63.889751,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,       -1, 14100.257,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,   248423,    33966,   104774,   101104,        0,        0,        0,        0
   75,      31.5,        -9,   60.000,  4944243, 15265310,    10724,        0,        0,        0,        0,        0, 63.927673,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,       -1, 14171.962,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,   340345,    21530,   193145,   186609,        0,        0,        0,        0
